player_id,F_name,L_Name,position,height,weight,birth_year,college,draft_round,draft_position,draft_year,current_salary
11580,Felix,Jones,RB,6-0,200,1987,Arkansas,1,22,2008,
11591,Greg,Jones,RB,,248,1981,Florida St.,2,55,2004,
11606,Jacoby,Jones,WR,,192,1984,Lane,3,73,2007,
11611,James,Jones,WR,6-1,208,1984,San Jose St.,3,78,2007,
11634,Julio,Jones,WR,,220,1989,Alabama,1,6,2011,"11,500,000"
11635,Julius,Jones,RB,,210,1981,Notre Dame,2,43,2004,
11643,Kevin,Jones,RB,,228,1982,Virginia Tech,1,30,2004,
11648,Landry,Jones,QB,,225,1989,Oklahoma,4,115,2013,"1,900,000"
11658,Mark,Jones,WR,,185,1980,Tennessee,7,206,2004,
11662,Marvin,Jones,WR,,198,1990,California,5,166,2012,"7,000,000"
11663,Matt,Jones,WR,6-6,242,1983,Arkansas,1,21,2005,
11664,Matt,Jones,RB,6-1,235,1993,Florida,3,95,2015,"542,647"
11706,T.J.,Jones,WR,,188,1992,Notre Dame,6,189,2014,"690,000"
11707,Taiwan,Jones,RB,,202,1988,East. Washington,4,125,2011,"775,000"
11712,Terry,Jones,TE,,265,1979,Alabama,5,155,2002,
11713,Thomas,Jones,RB,,220,1978,Virginia,1,7,2000,
11731,Zay,Jones,WR,,201,1995,East Carolina,2,37,2017,"465,000"
11732,Maurice,Jones-Drew,RB,,205,1985,UCLA,2,60,2006,
11734,Bennie,Joppru,TE,6-4,234,1980,Michigan,2,41,2003,
11755,LaMont,Jordan,RB,5-10,230,1978,Maryland,2,49,2001,
11848,Nate,Kaeding,K,,187,1982,Iowa,3,65,2004,
11849,Colin,Kaepernick,QB,,225,1987,Nevada,2,36,2011,
11854,Mike,Kafka,QB,,216,1987,Northwestern,4,122,2010,
11877,Alvin,Kamara,RB,,214,1995,Tennessee,3,67,2017,"465,000"
11909,Deji,Karim,RB,,200,1986,Southern Illinois,6,180,2010,
11927,Nick,Kasa,TE,6-6,269,1990,Colorado,6,172,2013,
11935,Kevin,Kasper,WR,,197,1977,Iowa,6,190,2001,
11983,Curtis,Keaton,RB,,220,1976,West Virginia,4,97,2000,
12018,Travis,Kelce,TE,,255,1989,Cincinnati,3,63,2013,"2,700,000"
12026,Dustin,Keller,TE,,248,1984,Purdue,1,30,2008,
12072,Malcolm,Kelly,WR,,218,1986,Oklahoma,2,51,2008,
12106,Lance,Kendricks,TE,,240,1988,Wisconsin,2,47,2011,"800,000"
12135,Jordan,Kent,WR,,219,1984,Oregon,6,210,2007,
12147,Jeremy,Kerley,WR,,188,1988,TCU,5,153,2011,"775,000"
12170,Cody,Kessler,QB,,224,1993,USC,3,93,2016,"604,049"
12221,Ethan,Kilmer,WR,,205,1983,Shippensburg,7,209,2006,
12263,Andre,King,WR,,195,1973,Miami (FL),7,245,2001,
12292,Jeff,King,TE,,250,1983,Virginia Tech,5,155,2006,
12309,Tavarres,King,WR,,189,1990,Georgia,5,161,2013,"487,059"
12316,Kliff,Kingsbury,QB,,231,1979,Texas Tech,6,201,2003,
12320,Erron,Kinney,TE,,275,1977,Florida,3,68,2000,
12335,David,Kircus,WR,,185,1980,Grand Valley St.,6,175,2003,
12356,David,Kirtman,RB,6-0,232,1983,USC,5,163,2006,
12368,George,Kittle,TE,,247,1993,Iowa,5,146,2017,"465,000"
12369,Kurt,Kittner,QB,,221,1980,Illinois,5,158,2002,
12374,DeShone,Kizer,QB,,233,1996,Notre Dame,2,52,2017,"465,000"
12399,Joe,Klopfenstein,TE,6-5,250,1983,Colorado,2,46,2006,
12447,Johnny,Knox,WR,6-0,185,1986,Abilene Christian,5,140,2009,
12485,Kevin,Kolb,QB,,218,1984,Houston,2,36,2007,
12507,Jameson,Konz,TE,,227,1986,Kent St.,7,245,2010,
12567,Ben,Koyack,TE,,249,1993,Notre Dame,7,229,2015,"540,000"
12602,Matt,Kranchick,TE,,260,1979,Penn St.,6,194,2004,
12613,Ryan,Krause,TE,,256,1981,Nebraska-Omaha,6,169,2004,
12627,Craig,Krenzel,QB,,225,1981,Ohio St.,5,148,2004,
12649,Tyler,Kroft,TE,6-5,240,1992,Rutgers,3,85,2015,"628,000"
12701,Cooper,Kupp,WR,,204,1993,East. Washington,3,69,2017,"465,000"
12749,Eddie,Lacy,RB,,231,1991,Alabama,2,61,2013,
12762,Brandon,LaFell,WR,6-2,208,1986,LSU,3,78,2010,"1,250,000"
12827,Jarvis,Landry,WR,,205,1992,LSU,2,63,2014,"893,852"
12860,Jeremy,Langford,RB,,211,1991,Michigan St.,4,106,2015,
12922,Daniel,Lasco,RB,,205,1992,California,7,237,2016,"349,412"
12943,Cody,Latimer,WR,,215,1992,Indiana,2,56,2014,"925,725"
12996,Quinten,Lawrence,WR,,175,1984,McNeese St.,6,175,2009,
12999,Nate,Lawrie,TE,,256,1981,Yale,6,181,2004,
13020,George,Layne,RB,5-11,250,1978,TCU,4,108,2001,
13085,Charles,Lee,WR,6-3,227,1977,Central Florida,7,242,2000,
13090,Donald,Lee,TE,,255,1980,Mississippi St.,5,156,2003,
13113,Marqise,Lee,WR,,192,1991,USC,2,39,2014,"1,125,549"
13136,Byron,Leftwich,QB,,245,1980,Marshall,1,7,2003,
13142,Jordan,Leggett,TE,,258,1995,Clemson,5,150,2017,"465,000"
13157,Matt,Leinart,QB,,225,1983,USC,1,10,2006,
13165,Ashley,Lelie,WR,,200,1980,Hawaii,1,19,2002,
13192,Brian,Leonard,RB,,226,1984,Rutgers,2,52,2007,
13211,Mikel,Leshoure,RB,,230,1990,Illinois,2,57,2011,
13268,Dezmin,Lewis,WR,,214,1992,Central Arkansas,7,234,2015,
13269,Dion,Lewis,RB,,195,1990,Pittsburgh,5,149,2011,"1,200,000"
13283,Jamal,Lewis,RB,,240,1979,Tennessee,1,5,2000,
13302,Marcedes,Lewis,TE,,255,1984,UCLA,1,28,2006,
13372,Ryan,Lindley,QB,,229,1989,San Diego St.,6,185,2012,
13407,Tony,Lippett,WR,,192,1992,Michigan St.,5,156,2015,"615,000"
13427,Greg,Little,WR,,215,1989,North Carolina,2,59,2011,
13454,Brandon,Lloyd,WR,,192,1981,Illinois,4,124,2003,
13466,Jake,Locker,QB,,228,1988,Washington,1,8,2011,
13473,Tyler,Lockett,WR,,181,1992,Kansas St.,3,69,2015,"695,000"
13587,J.P.,Losman,QB,,220,1981,UCLA,1,22,2004,
13610,Ricardo,Louis,WR,6-2,215,1994,Auburn,4,114,2016,"540,000"
13674,Andrew,Luck,QB,,240,1989,Stanford,1,1,2012,"7,000,000"
13688,Triandos,Luke,WR,,190,1981,Alabama,6,171,2004,
13705,Wali,Lundy,RB,,215,1983,Virginia,6,170,2006,
13723,Chris,Luzar,TE,,262,1979,Virginia,4,118,2002,
13734,Dustin,Lyman,TE,,245,1976,Wake Forest,3,87,2000,
13751,Marshawn,Lynch,RB,5-11,215,1986,California,1,12,2007,"1,350,000"
13753,Paxton,Lynch,QB,,244,1994,Memphis,1,26,2016,"880,741"
13799,Marlon,Mack,RB,,213,1996,South Florida,4,143,2017,"465,000"
13822,Jeremy,Maclin,WR,,200,1988,Missouri,1,19,2009,
13843,Adrian,Madise,WR,,215,1980,TCU,5,158,2003,
13917,Ryan,Mallett,QB,,240,1988,Arkansas,3,74,2011,"1,000,000"
13930,Josh,Malone,WR,6-3,208,1996,Tennessee,4,128,2017,"465,000"
13976,Maurice,Mann,WR,,190,1982,Nevada,5,149,2004,
13982,Eli,Manning,QB,,218,1981,Mississippi,1,1,2004,"13,000,000"
13991,Mario,Manningham,WR,,185,1986,Michigan,3,95,2008,
13992,Sean,Mannion,QB,,229,1992,Oregon St.,3,89,2015,"730,037"
14004,EJ,Manuel,QB,,237,1990,Florida St.,1,16,2013,
14010,Brandon,Manumaleuna,TE,,288,1980,Arizona,4,129,2001,
14013,Johnny,Manziel,QB,6-0,207,1992,Texas A&M;,1,22,2014,
14038,Owen,Marecic,RB,,246,1988,Stanford,4,124,2011,
